Poste;Entreprise;Ville;Salaire/TJM;Description;Lien;tech_score;salaire_annuel_estime
Data Engineer / Data Analyst Senior – Environnement Cloud & Big Data;AVA2I;75017, Paris, Île-de-France;N/C;Nous recherchons un expert data capable de concevoir, structurer et optimiser des solutions data modernes pour accompagner la croissance et les enjeux business d’une organisation en pleine transformation numérique. Votre rôle sera central : transformer la donnée en levier stratégique, garantir sa qualité et développer les pipelines, modèles et analyses qui permettront aux équipes métiers de prendre de meilleures décisions. 🎯 Livrables & responsabilités Concevoir et mettre en œuvre des solutions data complètes pour répondre aux besoins business. Analyser, interpréter et valoriser des données complexes pour produire des insights actionnables. Travailler avec des équipes pluridisciplinaires (IT, produit, métier, sécurité…) afin d’identifier et résoudre les problématiques data. Développer et maintenir des pipelines de données , des modèles analytiques et des outils de reporting. Garantir la qualité, l’intégrité et la sécurité des données sur tout leur cycle de vie. Fournir une expertise technique et des recommandations pour soutenir la prise de décision data-driven. 🧩 Expertise requise 5 ans d’expérience minimum en data engineering, data analytics ou poste similaire. Expérience solide dans la livraison de solutions data dans des environnements dynamiques. Maîtrise des architectures et technologies data modernes : plateformes cloud (AWS, Azure, GCP), frameworks Big Data, data warehousing. Excellentes compétences en Python, SQL, Spark . Maîtrise de la modélisation de données , des processus ETL et des pipelines de transformation. Expertise sur les outils de visualisation et de reporting : Power BI, Tableau . Connaissance des bonnes pratiques de gouvernance, sécurité et conformité des données.;https://www.free-work.com/fr/tech-it/ingenieur-devops-cloud/job-mission/data-engineer-data-analyst-senior-environnement-cloud-big-data;10;0.0
Data Analyste Senior;Gentis Recruitment SAS;Paris, France;N/C;Contexte et définition du besoin Une grande Direction Data rattachée à la Direction du Numérique d’un acteur majeur du secteur médias / contenus numériques recherche un Data Analyste Senior pour soutenir la transformation data-driven et le pilotage des performances de ses plateformes numériques. La mission vise à accompagner les équipes produit et éditoriales sur l’analyse de la performance des contenus jeunesse dans un contexte de forte évolution des usages digitaux. 2. Prestations attendues Analyse et reporting Recueil et formalisation des besoins auprès des équipes internes. Définition des sources de données et rédaction des cahiers des charges à destination des Data Engineers. Conception, automatisation et maintenance des dashboards Power BI . Itérations et validations en mode agile. Accompagnement et pilotage Coaching et acculturation data des équipes internes. Définition, harmonisation et suivi des KPIs transverses. Contribution au déploiement et à l’amélioration du tracking multi-supports (Web, App, TV). Formalisation des besoins analytics en lien avec les équipes produit et techniques. Analyse des usages Analyse des audiences et comportements utilisateurs via Piano Analytics / AT Internet , Nielsen , eStat Streaming . Analyse des parcours et de l’expérience utilisateur avec ContentSquare . Collaboration avec l’équipe Études pour les analyses vidéo et usage. 3. Compétences recherchées Compétences techniques Maîtrise confirmée de : Piano Analytics / AT Internet , eStat Streaming, Nielsen. Expertise Power BI. Très bonne connaissance SQL. Connaissance GCP, Power Automate. Outils : Excel, PowerPoint, Jira, Confluence, GetFeedback/Usabilla. Compétences solides en tracking multi-supports. Expérience en analyse UX avec ContentSquare. Compétences fonctionnelles Capacité à structurer des KPIs, piloter des sujets analytics et produire des reporting fiables. Expérience en coaching et accompagnement data. Gestion de projet.;https://www.free-work.com/fr/tech-it/directeur-de-la-data-cdo/job-mission/data-analyste-senior-2;8;0.0
Data Engineer / Data Analyst;ICSIS;Lille, Hauts-de-France;420-500 €⁄j;La mission consiste à : - Maîtrise de la donnée et garant de la qualité de son utilisation - Analyser les besoins des utilisateurs et proposer des solutions innovantes - Développer les solutions data - Maintenir les solutions existantes - Mettre en oeuvre des pipelines de données Compétences attendues : - Expériences significatives comme Data Engineer / Data Analyst - Maîtrise de SQL, Python, PowerBI, GCP, CI/CD, Terraform, Github et les ETL/ELT - Anglais un + Mission basée sur la métropole lilloise avec télétravail hybride;https://www.free-work.com/fr/tech-it/data-engineer/job-mission/data-engineer-data-analyst-6;7;101200.0
Data Analyst - PowerBI;VISIAN;Toulouse, Occitanie;300-500 €⁄j;Nous recherchons un Data Analyst expérimenté pour intervenir sur la conception, le développement et l’industrialisation de dashboards Power BI destinés à des équipes internes. La mission couvre l’ensemble de la chaîne data : recueil des besoins, récupération et intégration des données, modélisation, alimentation de l’entrepôt de données, création de tableaux de bord, livraison et support aux utilisateurs. Vous participerez également à l’administration de l’environnement Power BI et au suivi des activités dans un outil de ticketing. Vous interviendrez sur des données liées au support informatique et aux cycles de vie des incidents. Le rôle nécessite une excellente maîtrise de SQL, Power BI et SSIS, ainsi qu’un esprit analytique, une rigueur forte et une réelle capacité de communication. Compétences techniques SQL – Expert Power BI – Expert SSIS – Confirmé / Important PL/SQL ETL Environnements On-Premise (pas d’Azure / pas de Data Factory) Conception et modélisation de données Intégration de données dans un entrepôt Conception de bases agrégées;https://www.free-work.com/fr/tech-it/consultant-decisionnel-bi-powerbi-sas-tableau/job-mission/data-analyst-powerbi-10;7;88000.0
Data Analyst H/F;HN SERVICES;France / Remote;360-420 €⁄j;HN Services recrute un·e Data Analyst pour intervenir sur des projets BI et Digital Data pour l’un de nos clients situé à Montpellier . Contexte et mission : Vous intégrerez un environnement agile (Scrum) au sein de l'équipe Data et collaborerez étroitement avec les équipes métiers et Business Analysts. Votre rôle sera de : Collecter, exploiter et restituer les données sous forme d’indicateurs et tableaux de bord. Conduire des analyses Data liées aux problématiques métiers. Présenter les résultats aux équipes et véhiculer les bonnes pratiques de gouvernance Data (Data Management, Data Privacy). Participer à l’évolution des pratiques dans une logique d’amélioration continue. Intervenir sur des activités BI (fabrication de dashboards via Microstrategy, calcul d’indicateurs SQL sur Teradata). Selon l’évolution de la mission : mise en œuvre du tracking des parcours utilisateurs et analyses marketing (Tag Commander, Piano Analytics, Cosmo Survey). Environnement technique : Outils de Data Visualisation : Microstrategy (expert), Power BI, Tableau. Langage : SQL (expert). Solutions analytiques : Tag Commander, Piano Analytics. Connaissance fonctionnelle de l’analyse data dans le domaine bancaire.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-h-f-426;7;85800.0
Data Analyst/Product Owner Supply Chain (2-5ans) (H/F);skiils;Paris, France;100-480 €⁄j;Nous recherchons un Data Analyst/PO (H/F) pour rejoindre la direction Data & Analytics d’un grand acteur du retail engagé dans un vaste programme de transformation analytique. 🎯 L’objectif ? Faire le lien entre les équipes métier (notamment Supply Chain) et les équipes data, afin de transformer les besoins opérationnels en solutions analytiques concrètes, impactantes et alignées avec la stratégie data du groupe. 🚀 Tes missions principales : 🎯 Analyse & accompagnement métier Identifier, comprendre et traduire les besoins des équipes opérationnelles en opportunités data & analytics Mener en totale autonomie des analyses ad-hoc : cadrage, extraction, traitement et restitution Communiquer les résultats aux équipes métier avec pédagogie, transparence et esprit critique Mettre en avant les limites, biais et axes d'amélioration des analyses réalisées 🧩 Pilotage de produits analytiques Tu endosseras également le rôle de Product Owner Data au sein d’une squad produit pluridisciplinaire : Définir la vision produit et la roadmap analytique en cohérence avec la stratégie globale Prioriser les besoins métier, identifier les problématiques analytiques à résoudre Rédiger les User Stories et spécifications nécessaires au delivery Planifier et suivre le développement des fonctionnalités analytiques Participer aux rituels agile (daily, sprint planning, refinements…) Définir et suivre les indicateurs de succès de chaque produit analytique Garantir l’adoption et l’utilisation des produits par les équipes métier 🔧 Environnement technique & outils : Données : SQL, BigQuery DataViz : Tableau, Google Looker Studio Versioning / Delivery : GitLab Langage complémentaire : Python (atout) Méthodologie : Agile (Scrum, Sprint Planning, Backlog…);https://www.free-work.com/fr/tech-it/consultant-fonctionnel/job-mission/data-analyst-supply-chain-17;7;63800.0
Data Analyst confirmé;SARIEL;France / Remote;360-480 €⁄j;Bonjour, Nous recherchons pour notre client basé en région parisienne un Data Analyst – confirmé (4 - 10 ans d’expérience) Objectif : Accompagner l’entité Juridique du Groupe sur les sujets énergies Les livrables sont Analyser des incidents pour en comprendre la cause afin de déterminer la solution à appliquer Avoir une bonne capacité d'analyse afin de pouvoir comprendre des sujets métiers divers et variés Compétences techniques PYTHON - Confirmé - Impératif POWERBI - Confirmé - Important DATABRICKS - Confirmé - Important SQL - Confirmé – Important Connaissances linguistiques Français Courant (Impératif) Anglais Notions (Secondaire) Définition du profil CONCEPTION ET CADRAGE Définit, développe, met en place et maintient les outils nécessaires à l'analyse des données par les équipes Data Conçoit les modèles de données et les contrats d'interfaces Est responsable de créer des solutions permettant le traitement de volumes importants de données tout en garantissant leur sécurité MISE EN PRODUCTION Prépare les documents requis pour les Mises En Production (MEP) et pour le Run (document d'exploitation, supervision, ?) Participe à la mise en place des processus et outils de supervision de son produit et des traitements associés Participe au transfert de compétences vers l'équipe en charge du RUN Respecte les bonnes pratiques de développement (optimisation, sécurisation, documentation, etc.) Participe aux différentes cérémonies agiles VEILLE ET SUIVI Assure une veille active sur les technologies et langages utilisés et leurs évolutions afin d'améliorer les compétences des équipes Participe à la résolution d'incidents sur le produit en collaboration avec les parties prenantes Données complémentaires Date de démarrage 08/12/2025 Lieu de réalisation Bondoufle Déplacement à prévoir non Le projet nécessite des astreintes non Dans le cas où vous êtes intéressé par ce poste, pourriez-vous SVP m'envoyer votre CV au format Word en indiquant votre disponibilité ainsi que vos prétentions salariales ou votre tarification journalière si vous êtes indépendant ?;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-confirme-14;6;92400.0
DATA ANALYST GCP (420€ MAX);BEEZEN;France / Remote;290-420 €⁄j;● Excellente maîtrise de SQL, avec une forte expérience sur BigQuery (Oracle est un plus) ● Modélisation et préparation des données : conception de pipelines optimisés dans BigQuery, en garantissant la qualité, la fiabilité et la cohérence des analyses. ● Exploration et extraction des données : rédaction et optimisation de requêtes SQL complexes, automatisation des traitements analytiques pour des performances accrues. ● Création et optimisation de dashboards interactifs sous Looker Studio, avec une capacité à identifier et suivre des KPIs critiques pour le pilotage métier. ● Maîtrise des outils de CI/CD avec GitLab CI, et des pratiques de gestion de version (Git). ● Bonne maîtrise des méthodologies agiles, notamment Scrum, Sprint Planning et Backlog Refinement. ● Esprit d’analyse et appétence pour le fonctionnel, capacité à appréhender rapidement des logiques métier complexes;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-gcp-480eur-max;6;78100.0
DATA ANALYSTE CONTENUS JEUNESSE;KEONI CONSULTING;Paris, France;100-550 €⁄j;CONTEXTE : La Direction Data recherche une prestation en Data Analyse pour accompagner les équipes produits et éditoriales dans l’analyse de la performance des contenus jeunesses. MISSIONS - La création de nouveaux rapports automatiques Power BI qui auront pour objectif de mesurer la performance des sites/applications. (Prise en compte des besoins des équipes interne, détermination des sources à utiliser et création du cahier des charges pour les data ingénieurs, réalisation d'une maquette, création du Dashboard, itérations mode projet..) - Le maintien du bon fonctionnement des dashboards existant sur Power BI. - L’accompagnement et le coaching des équipes internes sur l’intégration de la data dans leur processus de décision et de priorisation (AT Internet, Nielsen, marqueur interne). - La mesure et l’analyse des données issues de nos différents outils afin de mieux comprendre les usages (web analytics, consommation vidéos vues), en collaboration avec l’équipe études. - L’accompagnement des équipes internes dans l’identification des indicateurs/ KPIs nécessaires au suivi de leurs activités, et avoir une vision transverse sur l’ensemble des KPIs utilisés par les équipes produit et métier et leurs méthodes de calcul - Le partage de son expertise afin de déployer notre marqueur interne sur d’autres produits. - L’identification des besoins de prérequis de tracking pour mettre en place ces analyses et les remonter aux équipes internes. Expertises demandées pour la réalisation de la prestation : Pour mener à bien la prestation, le prestataire devra maitriser les expertises suivantes : - Maitrise des Piano Internet et eStat Streaming/Nielsen exigée. - Maitrise du tracking sur Web, App, et TV. - Expertise en analyse de parcours avec ContentSquare - Aisance analytique demandée, et maitrise de Power BI exigée. - Expertise en accompagnement/coaching data - Maîtrise de la mise en place de reporting et production des bilans - Capacité en gestion de projet - Maîtrise d’Excel, powerpoint , Jira, Confluence. - Maitrise du SQL nécessaire et connaissance de GCP -Maitrise de GetFeedBack – Usabilla pour la mise en place des NPS. - Connaissance de Power Automate pour automatiser certains process -Expérience dans les médias;https://www.free-work.com/fr/tech-it/analyste-programmeur/job-mission/data-analyste-contenus-jeunesse-1;6;71500.0
Data Analyst Order to Cash;INFOGENE;France / Remote;50k-65k €⁄an;Présentation du Poste Nous recherchons un Analytics Engineer Senior disposant d’au moins 6 ans d’expérience , alliant une forte expertise technique et une vision end-to-end de la chaîne de données : de l’ingestion à la transformation, jusqu’au reporting. Le/la candidat(e) contribuera à la construction, l’industrialisation et l’optimisation de la data platform, au service des besoins métiers et d’un contexte international exigeant. Connaissances Métier Très bonne compréhension du processus Order-to-Cash (O2C) dans un environnement international. Capacité à appréhender les divergences entre processus locaux et processus groupe. Aisance dans la gestion de différentes typologies d’organisation (local, régional, global). Hard Skills – Compétences Techniques Expertise confirmée en tant qu’ Analytics Engineer , idéalement dans des environnements data à grande échelle. Maîtrise de GCP (BigQuery) , DBT , GitLab CI/CD , Azure Data Factory . Excellentes compétences en modélisation et transformation des données, notamment pour des usages Power BI . Forte capacité d’analyse, de résolution de problèmes et d’optimisation. Connaissance appréciée de SAP et des flux associés. Orientation marquée vers l’ industrialisation , l’ automatisation et la gouvernance des données. Soft Skills – Savoir-être Autonomie, rigueur et capacité à évoluer dans un environnement complexe et mouvant. Expérience dans la collaboration avec des équipes internationales et multiculturelles . Agilité, flexibilité et forte capacité d’adaptation. Excellentes compétences de communication, avec aptitude à vulgariser les sujets techniques auprès d’interlocuteurs variés. Langues Anglais : Très bon niveau oral et écrit, permettant d’animer des workshops métiers en anglais.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-order-to-cash;6;57500.0
